plate	prot	well	fin.Ran.conc	GAP.working	date	cutoff_time
5	PE1_WT	C1	0.25	0.08	20190201	3000
5	PE1_WT	C2	1	0.08	20190201	3000
5	PE1_WT	C3	1.5	0.08	20190201	3000
5	PE1_WT	C4	2	0.08	20190201	3000
5	PE1_WT	C5	0	0.08	20190201	3000
5	PE1_WT	C6	4	0.08	20190201	3000
5	PE1_WT	C7	6	0.08	20190201	3000
5	PE1_WT	C8	8	0.08	20190201	3000
5	PE1_WT	C9	10	0.08	20190201	3000
5	PE1_WT	C10	12	0.08	20190201	3000
5	PE1_WT	C11	15	0.08	20190201	3000
5	PE1_WT	C12	0	0.08	20190201	3000
5	PE1_WT	C13	0.5	0.08	20190201	3000
5	PE1_WT	C14	0.75	0.08	20190201	3000
5	PE1_WT	C15	1.25	0.08	20190201	3000
5	PE1_WT	C16	1.75	0.08	20190201	3000
5	PE1_WT	C17	0	0.08	20190201	3000
5	PE1_WT	C18	3	0.08	20190201	3000
5	PE1_WT	C19	5	0.08	20190201	3000
5	PE1_WT	C20	7	0.08	20190201	3000
5	PE1_WT	C21	9	0.08	20190201	3000
5	PE1_WT	C22	13	0.08	20190201	3000
5	PE1_WT	C23	17	0.08	20190201	3000
5	PE1_WT	C24	0	0.08	20190201	3000
