sample	nm	Abs
unfolded_protein_ref	220	1.953
unfolded_protein_ref	220.5	1.915
unfolded_protein_ref	221	1.868
unfolded_protein_ref	221.5	1.812
unfolded_protein_ref	222	1.759
unfolded_protein_ref	222.5	1.7
unfolded_protein_ref	223	1.646
unfolded_protein_ref	223.5	1.593
unfolded_protein_ref	224	1.529
unfolded_protein_ref	224.5	1.458
unfolded_protein_ref	225	1.388
unfolded_protein_ref	225.5	1.326
unfolded_protein_ref	226	1.276
unfolded_protein_ref	226.5	1.239
unfolded_protein_ref	227	1.205
unfolded_protein_ref	227.5	1.171
unfolded_protein_ref	228	1.14
unfolded_protein_ref	228.5	1.111
unfolded_protein_ref	229	1.084
unfolded_protein_ref	229.5	1.055
unfolded_protein_ref	230	1.025
unfolded_protein_ref	230.5	0.993
unfolded_protein_ref	231	0.959
unfolded_protein_ref	231.5	0.923
unfolded_protein_ref	232	0.881
unfolded_protein_ref	232.5	0.833
unfolded_protein_ref	233	0.781
unfolded_protein_ref	233.5	0.729
unfolded_protein_ref	234	0.673
unfolded_protein_ref	234.5	0.618
unfolded_protein_ref	235	0.563
unfolded_protein_ref	235.5	0.511
unfolded_protein_ref	236	0.462
unfolded_protein_ref	236.5	0.416
unfolded_protein_ref	237	0.376
unfolded_protein_ref	237.5	0.337
unfolded_protein_ref	238	0.298
unfolded_protein_ref	238.5	0.262
unfolded_protein_ref	239	0.234
unfolded_protein_ref	239.5	0.21
unfolded_protein_ref	240	0.192
unfolded_protein_ref	240.5	0.179
unfolded_protein_ref	241	0.168
unfolded_protein_ref	241.5	0.158
unfolded_protein_ref	242	0.151
unfolded_protein_ref	242.5	0.145
unfolded_protein_ref	243	0.139
unfolded_protein_ref	243.5	0.134
unfolded_protein_ref	244	0.128
unfolded_protein_ref	244.5	0.125
unfolded_protein_ref	245	0.122
unfolded_protein_ref	245.5	0.119
unfolded_protein_ref	246	0.116
unfolded_protein_ref	246.5	0.113
unfolded_protein_ref	247	0.111
unfolded_protein_ref	247.5	0.109
unfolded_protein_ref	248	0.108
unfolded_protein_ref	248.5	0.107
unfolded_protein_ref	249	0.107
unfolded_protein_ref	249.5	0.106
unfolded_protein_ref	250	0.105
unfolded_protein_ref	250.5	0.104
unfolded_protein_ref	251	0.102
unfolded_protein_ref	251.5	0.101
unfolded_protein_ref	252	0.1
unfolded_protein_ref	252.5	0.099
unfolded_protein_ref	253	0.099
unfolded_protein_ref	253.5	0.101
unfolded_protein_ref	254	0.101
unfolded_protein_ref	254.5	0.101
unfolded_protein_ref	255	0.102
unfolded_protein_ref	255.5	0.104
unfolded_protein_ref	256	0.104
unfolded_protein_ref	256.5	0.106
unfolded_protein_ref	257	0.108
unfolded_protein_ref	257.5	0.11
unfolded_protein_ref	258	0.114
unfolded_protein_ref	258.5	0.116
unfolded_protein_ref	259	0.119
unfolded_protein_ref	259.5	0.12
unfolded_protein_ref	260	0.121
unfolded_protein_ref	260.5	0.122
unfolded_protein_ref	261	0.124
unfolded_protein_ref	261.5	0.128
unfolded_protein_ref	262	0.13
unfolded_protein_ref	262.5	0.133
unfolded_protein_ref	263	0.134
unfolded_protein_ref	263.5	0.136
unfolded_protein_ref	264	0.139
unfolded_protein_ref	264.5	0.143
