plate	well	prot	fin.Ran.conc	Ran.volume	Ran.volume.2	sensor.V	Ran.premix.buffer.volume	GAP.stock	GAP.working	Ran.premix.to.add	GAP.V	date
5	C1	PE1_WT	0.25	0.74	0.37	9.15	100	2	0.08	96	4	20190201
5	C2	PE1_WT	1	2.97	1.485	9.15	98	2	0.08	96	4	20190201
5	C3	PE1_WT	1.5	4.46	2.23	9.15	96	2	0.08	96	4	20190201
5	C4	PE1_WT	2	5.94	2.97	9.15	95	2	0.08	96	4	20190201
5	C5	PE1_WT	0	0	0	9.15	101	2	0.08	96	4	20190201
5	C6	PE1_WT	4	11.88	5.94	18.3	80	2	0.08	96	4	20190201
5	C7	PE1_WT	6	17.82	8.91	18.3	74	2	0.08	96	4	20190201
5	C8	PE1_WT	8	23.77	11.885	18.3	68	2	0.08	96	4	20190201
5	C9	PE1_WT	10	29.71	14.855	18.3	62	2	0.08	96	4	20190201
5	C10	PE1_WT	12	35.65	17.825	18.3	56	2	0.08	96	4	20190201
5	C11	PE1_WT	15	44.56	22.28	18.3	47	2	0.08	96	4	20190201
5	C12	PE1_WT	0	0	0	9.15	101	2	0.08	96	4	20190201
5	C13	PE1_WT	0.5	1.49	0.745	9.15	99	2	0.08	96	4	20190201
5	C14	PE1_WT	0.75	2.23	1.115	9.15	99	2	0.08	96	4	20190201
5	C15	PE1_WT	1.25	3.71	1.855	9.15	97	2	0.08	96	4	20190201
5	C16	PE1_WT	1.75	5.2	2.6	9.15	96	2	0.08	96	4	20190201
5	C17	PE1_WT	0	0	0	9.15	101	2	0.08	96	4	20190201
5	C18	PE1_WT	3	8.91	4.455	18.3	83	2	0.08	96	4	20190201
5	C19	PE1_WT	5	14.85	7.425	18.3	77	2	0.08	96	4	20190201
5	C20	PE1_WT	7	20.79	10.395	18.3	71	2	0.08	96	4	20190201
5	C21	PE1_WT	9	26.74	13.37	18.3	65	2	0.08	96	4	20190201
5	C22	PE1_WT	13	38.62	19.31	18.3	53	2	0.08	96	4	20190201
5	C23	PE1_WT	17	50.5	25.25	18.3	41	2	0.08	96	4	20190201
5	C24	PE1_WT	0	0	0	9.15	101	2	0.08	96	4	20190201
